2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
912.84,914.19,913.2,912.9,911.1,909.9,911.4,909.1,905.6,909.5,908.4,910.3,909.0,910.9,909.0,911.6,908.1,910.7,907.3,912.8,913.1
912.84,914.19,913.2,913.3,911.9,910.4,911.89,909.4,906.7,909.7,908.7,910.0,908.8,910.6,908.9,911.6,908.0,910.7,906.7,913.3,913.7
912.84,914.19,913.2,913.3,911.6,910.4,911.89,909.4,906.2,909.9,909.0,910.3,908.8,910.2,908.9,911.4,907.5,910.8,906.0,913.5,914.1
912.84,914.19,913.2,912.7,910.9,911.85,911.89,909.2,905.8,909.6,908.4,909.6,908.6,910.3,908.3,911.2,907.1,910.7,905.9,912.8,913.5
912.84,914.19,913.2,912.1,910.4,911.85,911.89,908.5,905.4,909.1,908.4,908.9,908.1,910.2,907.7,910.8,907.1,910.6,905.5,912.5,913.3
912.84,914.19,913.2,911.3,910.2,911.85,911.89,908.1,904.7,908.8,908.1,908.7,907.7,909.6,907.3,910.8,906.5,910.5,905.4,912.3,913.1
912.84,914.19,913.2,910.8,910.2,911.85,911.89,907.5,904.7,907.9,907.4,908.6,907.8,909.4,907.5,911.0,906.3,909.9,905.4,912.1,912.8
912.84,914.19,913.2,910.5,910.3,911.85,911.89,907.4,905.0,907.6,907.1,908.8,907.9,908.9,907.7,911.7,906.0,910.4,906.0,912.0,912.4
912.84,914.19,913.2,910.8,910.7,911.85,911.89,907.6,905.4,907.7,907.8,909.0,908.3,909.4,907.8,912.5,906.5,911.2,906.6,912.2,912.6
912.84,914.19,913.2,911.4,911.2,911.85,911.89,908.2,906.0,908.0,908.1,909.4,908.8,910.2,908.4,913.2,906.7,911.7,906.9,912.6,912.8
912.84,914.19,913.2,911.9,912.0,909.6,911.89,908.6,906.3,908.8,908.6,910.0,909.6,910.2,908.5,913.7,907.0,912.1,907.6,913.1,912.9
912.84,914.19,913.2,912.2,912.5,909.9,911.89,908.9,906.7,909.0,909.1,910.1,910.1,910.4,908.5,914.1,907.2,912.5,908.1,913.5,913.3
912.84,914.19,913.2,912.1,913.1,910.1,911.89,908.7,906.9,909.0,909.3,910.2,910.4,910.3,909.4,913.9,907.2,912.9,908.0,913.8,913.5
