2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,1221.49,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,1221.49,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,1221.49,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,1221.49,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,0.6,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,1221.49,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,0.2,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,1221.49,1155.95,1208.71,1093.0,1181.66,1169.89,1185.67,1177.06,1263.66,1093.21,1092.15,1140.41,1050.85
1160.37,1006.53,1097.63,1192.02,1207.6,1297.64,1249.23,1123.03,1221.49,1155.95,1208.71,1093.0,1181.66,1.4,1.8,20.4,22.5,33.3,88.4,1140.41,1050.85
1160.37,1006.53,1097.63,18.0,13.0,1297.64,1249.23,40.2,70.7,18.7,25.3,85.3,88.6,119.9,93.9,441.7,304.4,268.2,762.9,28.1,16.5
1160.37,1006.53,1097.63,154.0,211.0,276.9,1249.23,360.8,345.2,242.9,400.1,688.9,310.5,550.5,334.2,1098.5,693.1,583.9,1657.7,593.8,270.8
1160.37,1006.53,1097.63,511.0,270.0,1281.3,1249.23,1048.4,866.4,856.5,1038.3,1678.9,946.0,740.1,1064.9,1690.3,1379.4,848.6,2099.5,1398.0,401.9
1160.37,1006.53,1097.63,1216.0,403.0,1962.8,1249.23,1714.5,1024.8,1628.4,2607.5,2268.3,857.8,1439.7,2559.3,2529.7,2416.1,572.5,2492.4,2687.6,1125.7
