2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
77.03,80.21,77.38,89.0,74.0,89.0,94.0,75.41,90.0,77.0,66.0,80.0,77.0,74.0,70.55,78.0,81.0,83.0,83.96,88.0,89.0
77.03,80.21,77.38,88.0,72.0,88.0,79.5,75.41,91.0,83.0,68.0,83.0,79.0,78.0,70.55,79.0,84.0,73.17,83.96,88.0,93.0
77.03,80.21,77.38,91.0,76.0,89.0,79.5,75.41,91.0,84.0,69.0,83.0,81.0,81.0,70.55,80.0,69.84,73.17,83.96,86.0,91.0
77.03,80.21,77.38,92.0,76.0,79.46,79.5,75.41,90.0,82.0,69.0,82.0,83.0,82.0,70.55,79.0,69.84,73.17,83.96,88.0,90.0
77.03,80.21,77.38,92.0,81.0,79.46,79.5,75.41,90.0,87.0,75.0,77.0,84.0,82.0,70.55,80.0,69.84,73.17,83.96,88.0,90.0
77.03,80.21,77.38,92.0,84.0,79.46,79.5,75.41,89.0,87.0,80.0,77.0,85.0,81.0,70.55,99.0,69.84,73.17,83.96,88.0,90.0
77.03,80.21,77.38,93.0,86.0,79.46,79.5,75.41,89.0,85.0,82.0,82.0,87.0,96.0,70.55,71.53,69.84,100.0,83.96,87.0,89.0
77.03,80.21,77.38,93.0,88.0,79.46,79.5,75.41,88.0,86.0,86.0,82.0,95.0,71.61,70.55,71.53,69.84,73.17,83.96,85.0,90.0
77.03,80.21,77.38,93.0,88.0,79.46,79.5,75.41,88.0,86.0,87.0,79.0,96.0,71.61,70.55,71.53,69.84,73.17,83.96,88.0,90.0
77.03,80.21,77.38,93.0,88.0,79.46,79.5,75.41,88.0,86.0,83.0,78.0,95.0,71.61,70.55,71.53,90.0,73.17,83.96,90.0,94.0
77.03,80.21,77.38,93.0,87.0,79.46,79.5,100.0,88.0,84.0,79.0,77.0,93.0,99.0,70.55,83.0,78.0,73.17,83.96,90.0,93.0
77.03,80.21,77.38,93.0,86.0,82.0,79.5,87.0,82.0,77.0,77.0,68.0,86.0,82.0,70.55,74.0,71.0,83.0,83.96,82.0,86.0
77.03,80.21,77.38,90.0,84.0,75.0,79.5,82.0,76.0,72.0,72.0,67.0,78.0,78.0,76.0,65.0,66.0,81.0,83.96,75.0,92.0
77.03,80.21,77.38,82.0,86.0,61.0,93.0,74.0,72.0,68.0,69.0,65.0,75.0,70.0,70.0,60.0,54.0,73.17,83.96,71.0,78.0
77.03,80.21,77.38,91.0,83.0,58.0,89.0,73.0,70.0,67.0,70.0,62.0,70.0,65.0,66.0,55.0,48.0,73.17,83.96,64.0,75.0
