2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
70.85,75.35,72.22,87.0,70.0,88.0,88.0,70.42,89.0,73.0,60.0,77.0,73.0,70.0,62.15,75.0,79.0,76.0,78.35,84.0,88.0
70.85,75.35,72.22,87.0,68.0,87.0,72.66,70.42,90.0,77.0,65.0,80.0,77.0,74.0,62.15,78.0,81.0,64.57,78.35,85.0,89.0
70.85,75.35,72.22,87.0,72.0,87.0,72.66,70.42,90.0,82.0,67.0,81.0,78.0,78.0,62.15,79.0,61.68,64.57,78.35,84.0,89.0
70.85,75.35,72.22,91.0,72.0,72.84,72.66,70.42,90.0,80.0,68.0,77.0,79.0,81.0,62.15,78.0,61.68,64.57,78.35,85.0,89.0
70.85,75.35,72.22,91.0,76.0,72.84,72.66,70.42,89.0,80.0,68.0,76.0,82.0,77.0,62.15,77.0,61.68,64.57,78.35,87.0,89.0
70.85,75.35,72.22,91.0,81.0,72.84,72.66,70.42,89.0,85.0,75.0,76.0,84.0,77.0,62.15,80.0,61.68,64.57,78.35,86.0,87.0
70.85,75.35,72.22,92.0,83.0,72.84,72.66,70.42,86.0,85.0,79.0,77.0,83.0,81.0,62.15,63.71,61.68,85.0,78.35,82.0,87.0
70.85,75.35,72.22,93.0,86.0,72.84,72.66,70.42,85.0,85.0,81.0,79.0,87.0,63.75,62.15,63.71,61.68,64.57,78.35,82.0,89.0
70.85,75.35,72.22,93.0,88.0,72.84,72.66,70.42,88.0,86.0,83.0,74.0,95.0,63.75,62.15,63.71,61.68,64.57,78.35,84.0,89.0
70.85,75.35,72.22,93.0,86.0,72.84,72.66,70.42,87.0,84.0,79.0,76.0,92.0,63.75,62.15,63.71,77.0,64.57,78.35,88.0,90.0
70.85,75.35,72.22,93.0,86.0,72.84,72.66,87.0,82.0,77.0,76.0,68.0,85.0,81.0,62.15,70.0,71.0,64.57,78.35,81.0,84.0
70.85,75.35,72.22,89.0,83.0,75.0,72.66,78.0,71.0,70.0,71.0,65.0,75.0,78.0,62.15,63.0,64.0,77.0,78.35,73.0,83.0
70.85,75.35,72.22,80.0,80.0,60.0,72.66,71.0,72.0,66.0,65.0,64.0,73.0,69.0,67.0,58.0,54.0,76.0,78.35,68.0,78.0
70.85,75.35,72.22,78.0,83.0,55.0,88.0,66.0,68.0,59.0,65.0,60.0,66.0,64.0,63.0,51.0,44.0,64.57,78.35,62.0,73.0
70.85,75.35,72.22,78.0,77.0,53.0,84.0,66.0,63.0,60.0,66.0,58.0,62.0,59.0,59.0,44.0,38.0,64.57,78.35,55.0,63.0
70.85,75.35,72.22,74.0,73.0,47.0,75.0,63.0,60.0,64.0,62.0,53.0,60.0,51.0,55.0,39.0,37.0,69.0,78.35,48.0,61.0
70.85,75.35,72.22,74.0,74.0,45.0,72.0,62.0,61.0,84.0,62.0,53.0,55.0,51.0,49.0,37.0,34.0,68.0,78.35,47.0,53.0
70.85,75.35,72.22,75.0,77.0,39.0,68.0,64.0,61.0,88.0,66.0,67.0,55.0,52.0,47.0,33.0,35.0,68.0,78.35,56.0,49.0
70.85,75.35,72.22,69.0,75.0,40.0,69.0,66.0,57.0,84.0,60.0,68.0,65.0,49.0,48.0,39.0,37.0,70.0,78.35,66.0,51.0
70.85,75.35,72.22,70.0,75.0,40.0,70.0,64.0,57.0,68.0,59.0,75.0,70.0,52.0,60.0,49.0,50.0,74.0,78.35,65.0,49.0
70.85,75.35,72.22,73.0,75.0,80.0,73.0,69.0,62.0,65.0,52.0,75.0,74.0,53.0,64.0,54.0,51.0,76.0,78.35,64.0,58.0
70.85,75.35,72.22,79.0,79.0,83.0,72.0,77.0,69.0,68.0,53.0,67.0,76.0,53.0,66.0,62.0,61.0,79.0,78.35,75.0,60.0
70.85,75.35,72.22,91.0,80.0,93.0,72.66,79.0,74.0,67.0,78.0,66.0,79.0,61.0,70.0,74.0,71.0,81.0,78.35,82.0,71.0
70.85,75.35,72.22,90.0,85.0,92.0,72.66,79.0,75.0,72.0,80.0,71.0,81.0,66.0,74.0,80.0,75.0,86.0,78.35,83.0,79.0
70.85,75.35,72.22,90.0,88.0,93.0,72.66,81.0,79.0,75.0,94.0,72.0,87.0,68.0,78.0,80.0,61.68,95.0,78.35,84.0,84.0
70.85,75.35,72.22,90.0,91.0,95.0,72.66,80.0,81.0,75.0,95.0,75.0,96.0,71.0,77.0,81.0,61.68,64.57,78.35,92.0,86.0
70.85,75.35,72.22,90.0,91.0,95.0,72.66,81.0,86.0,84.0,94.0,77.0,96.0,76.0,75.0,82.0,61.68,64.57,78.35,91.0,86.0
70.85,75.35,72.22,87.0,91.0,96.0,72.66,84.0,88.0,89.0,94.0,78.0,96.0,77.0,77.0,82.0,61.68,64.57,78.35,90.0,83.0
70.85,75.35,72.22,88.0,91.0,95.0,72.66,70.42,90.0,89.0,94.0,72.0,96.0,78.0,76.0,63.71,61.68,64.57,78.35,90.0,83.0
70.85,75.35,72.22,91.0,87.0,95.0,72.66,70.42,88.0,90.0,93.0,70.0,97.0,80.0,74.0,87.0,61.68,64.57,78.35,91.0,87.0
70.85,75.35,72.22,91.0,89.0,95.0,72.66,70.42,88.0,90.0,93.0,68.0,97.0,85.0,74.0,84.0,61.68,64.57,78.35,92.0,87.0
70.85,75.35,72.22,91.0,90.0,94.0,72.66,70.42,88.0,90.0,93.0,71.0,97.0,63.75,62.15,80.0,61.68,64.57,78.35,92.0,89.0
70.85,75.35,72.22,91.0,90.0,94.0,72.66,70.42,88.0,90.0,92.0,74.0,97.0,63.75,62.15,80.0,61.68,64.57,78.35,91.0,89.0
70.85,75.35,72.22,90.0,91.0,94.0,72.66,70.42,87.0,89.0,91.0,76.0,96.0,63.75,62.15,83.0,61.68,64.57,78.35,93.0,90.0
70.85,75.35,72.22,89.0,92.0,72.84,92.0,70.42,77.0,89.0,85.0,71.0,95.0,71.0,75.0,70.0,70.0,84.0,78.35,85.0,82.0
70.85,75.35,72.22,84.0,90.0,72.84,84.0,70.42,74.0,88.0,78.0,62.0,96.0,64.0,67.0,62.0,66.0,78.0,78.35,82.0,77.0
70.85,75.35,72.22,77.0,83.0,85.0,72.0,70.42,64.0,88.0,66.0,60.0,83.0,58.0,64.0,55.0,67.0,76.0,78.35,72.0,68.0
70.85,75.35,72.22,69.0,76.0,81.0,66.0,84.0,59.0,87.0,62.0,58.0,82.0,46.0,64.0,52.0,66.0,72.0,78.35,66.0,59.0
70.85,75.35,72.22,68.0,64.0,67.0,63.0,76.0,55.0,77.0,59.0,57.0,81.0,46.0,61.0,49.0,65.0,67.0,78.35,69.0,54.0
70.85,75.35,72.22,84.0,62.0,67.0,60.0,81.0,46.0,75.0,53.0,53.0,78.0,44.0,60.0,48.0,61.68,63.0,78.35,67.0,55.0
70.85,75.35,72.22,86.0,63.0,71.0,59.0,77.0,42.0,76.0,52.0,47.0,77.0,44.0,60.0,42.0,61.68,62.0,78.35,68.0,51.0
70.85,75.35,72.22,88.0,64.0,72.0,61.0,68.0,40.0,78.0,56.0,48.0,77.0,57.0,60.0,38.0,61.68,64.57,78.35,61.0,50.0
70.85,75.35,72.22,89.0,64.0,89.0,55.0,67.0,39.0,86.0,51.0,45.0,78.0,63.75,59.0,41.0,77.0,64.57,78.35,57.0,47.0
70.85,75.35,72.22,90.0,74.0,95.0,55.0,70.0,38.0,87.0,51.0,62.0,77.0,63.75,61.0,41.0,77.0,64.57,78.35,53.0,50.0
70.85,75.35,72.22,92.0,74.0,97.0,53.0,75.0,37.0,83.0,51.0,66.0,91.0,84.0,62.0,41.0,81.0,64.57,78.35,56.0,53.0
70.85,75.35,72.22,90.0,70.0,72.84,60.0,81.0,54.0,81.0,54.0,75.0,85.0,80.0,65.0,47.0,82.0,86.0,78.35,63.0,55.0
70.85,75.35,72.22,89.0,70.0,72.84,64.0,83.0,58.0,82.0,58.0,73.0,85.0,81.0,69.0,56.0,61.68,64.57,78.35,70.0,71.0
70.85,75.35,72.22,90.0,77.0,72.84,84.0,88.0,70.0,82.0,63.0,74.0,86.0,90.0,71.0,60.0,61.68,64.57,78.35,75.0,76.0
70.85,75.35,72.22,91.0,74.73,72.84,91.0,70.42,76.0,88.0,67.0,78.0,90.0,81.0,73.0,60.0,61.68,64.57,78.35,78.0,81.0
70.85,75.35,72.22,92.0,89.0,72.84,97.0,70.42,78.0,86.0,75.0,83.0,95.0,83.0,74.0,65.0,61.68,88.0,78.35,82.0,83.0
70.85,75.35,72.22,93.0,90.0,72.84,94.0,70.42,80.0,85.0,74.0,87.0,95.0,84.0,73.0,68.0,82.0,82.0,78.35,85.0,84.0
70.85,75.35,72.22,94.0,90.0,72.84,93.0,70.42,82.0,85.0,77.0,89.0,95.0,85.0,73.0,70.0,83.0,84.0,78.35,86.0,85.0
70.85,75.35,72.22,94.0,91.0,72.84,72.66,70.42,80.0,85.0,79.0,89.0,96.0,81.0,75.0,72.0,61.68,82.0,78.35,87.0,86.0
70.85,75.35,72.22,94.0,91.0,72.84,72.66,70.42,81.0,85.0,80.0,87.0,97.0,81.0,78.0,70.0,61.68,83.0,78.35,90.0,88.0
70.85,75.35,72.22,94.0,91.0,72.84,72.66,70.42,81.0,87.0,81.0,88.0,97.0,82.0,82.0,71.0,61.68,83.0,78.35,92.0,89.0
70.85,75.35,72.22,94.0,90.0,72.84,72.66,70.42,81.0,87.0,80.0,92.0,97.0,63.75,62.15,71.0,61.68,81.0,78.35,93.0,89.0
70.85,75.35,72.22,94.0,89.0,72.84,72.66,70.42,82.0,86.0,79.0,93.0,97.0,63.75,62.15,73.0,61.68,64.57,78.35,92.0,91.0
